Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,405586592.18,487709497.21,596648044.69,695530726.26,764804469.27,872067039.11,958659217.88,1083240223.46,1245810055.87,1320670391.06,1379888268.16,1531843575.42,1665363128.49,1722905027.93,1873452513.97,1896456983.24,1961843575.42,2044111731.84,2254830726.26,2360017318.44,2469782681.56,2677641340.78,2843024581.01,2553793296.09,2453597206.70,2637859217.88,2615208379.89,2727849162.01,2790849720.67,2962906703.91,2983637430.17,3092427932.96,3276187709.50,3346623191.46,2471419181.72,2880902798.92,3324034443.27,3834729616.12,4265650673.00,
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,24205688712.38,24958886027.46,27073233856.54,31769135008.65,30279553206.64,33806176716.85,36927249593.16,38444163573.92,41742001495.40,47048523178.85,47593907819.79,52188685166.56,56726057494.08,73083598128.68,89535976340.39,95295754526.87,96006417139.97,109208244154.94,124083421003.12,142099959764.83,178472295521.02,185108969364.77,178355547527.53,185755503030.12,170038515839.18,149335153752.17,160553515127.74,190175229570.90,207368870172.41,220613390803.07,256383050159.49,276918502950.35,241188307967.90,239981176638.05,243477534983.31,273327034187.59,273427612467.25,288270699674.41,268728127688.21,265321007618.97,287041984552.04,260849957489.12,269746009737.98,358116081062.43,445974808500.09,521561976778.10,587500469826.42,674999944547.62,726770401376.73,726921646144.60,863822114606.33,959822476083.88,969265729636.03,981308886976.78,998836162271.30,910002035578.04,831868076442.43,978076465866.45,1020955778298.17,1018714795912.35,938607563405.09,1114144799994.21,1228967879390.01,1179359054880.45,1242693542929.85,
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3521418059.92,2813571753.87,3825701439.00,4520946818.55,5224896718.68,6203256538.71,6971758282.29,9747886187.39,10109297047.54,12416152732.06,15856668555.83,17805098206.31,19907329777.59,20146416757.60,20497128555.70,19134221644.73,18116572395.08,18753456497.82,18053222687.41,18799444490.11,19955929052.15,14259995441.08,14497243872.13,17152234636.87,,
Africa Western and Central,AFW,GDP (current US$),NY.GDP.MKTP.CD,11904805741.68,12707719290.63,13630588814.30,14468913698.05,15803564796.41,16920876929.66,18033947666.94,16493541543.82,17022596883.70,19301191937.15,26696924213.81,24496786001.81,29489425515.75,36890633234.11,49687223643.24,57280116275.68,68385552348.17,71789497552.19,78778080489.57,96681064864.18,121445961252.94,217606540487.26,196264853551.92,151421439334.10,131373058519.31,138005066699.39,109517776160.10,112641148828.57,111770322169.92,104577372052.93,124277825786.70,130794315519.50,125449432677.39,130547124413.67,135350756019.39,207843864308.61,263563556144.18,276460023661.75,297126502718.94,140119071338.29,142700161610.08,150714426912.06,180129182230.86,208646527354.85,257939299771.71,316515667947.04,402077365740.58,470947616490.72,574259808704.12,515037106035.66,605794323433.51,691133400013.31,748030003656.80,844180401591.48,904071921008.09,778022057597.45,700028168335.24,694051345937.23,777840323023.31,1026996211935.80,963784699293.98,1026651004045.79,1063649130876.99,938238370514.20,736384961061.52,
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,5930503400.96,5550483035.96,5550483035.96,5784341596.36,6131475065.18,7554065410.12,7072536108.70,8084412414.27,8769836768.83,10201780976.67,11229515599.30,10603784541.20,8307810973.59,5768720421.61,4438321017.39,5538749259.95,7526421519.17,7648380195.60,6506221615.79,6152923310.45,9129594970.15,8936079117.73,17311512432.45,20342128111.98,26997977896.59,41396636383.37,58653659979.71,73037821926.68,98790432989.41,81705175408.39,95546919754.76,125551634704.47,143572907527.98,148845200696.79,153449860496.40,102543067840.73,59878249719.33,84376935689.34,89512794227.50,80734428592.54,58852456453.88,79559543805.30,131212208930.34,107167747140.13,100998916781.08,
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,1578102105.26,1808177156.18,1861163170.16,1881412587.41,1857337995.34,1897050116.55,2097326250.00,2080796250.00,2051236250.00,2253090000.00,2028553750.00,1099559027.78,652174990.84,1185315468.46,1880950864.41,2905092798.62,3234486232.04,2293666029.99,2600356999.21,3283941510.50,3584570164.85,4059064033.13,4515003116.68,5801712040.48,7406645793.44,8256658249.81,9150528132.18,11116937869.86,13258506375.45,12335540656.10,12086545641.30,12973755874.54,12246499747.97,12796985886.15,13296322588.17,11470171826.96,11988668784.66,13258268435.60,15379508329.76,15585111614.04,15241458744.59,18031989573.03,19017247013.88,23491242727.41,27046429296.67,
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,78617711.10,89406608.15,113414397.37,150841639.30,186557082.00,220112572.21,227283850.83,253997897.23,308020261.16,411548748.35,446377776.80,388983266.20,375914743.58,327850042.52,330073080.64,346742714.68,481996012.87,611299924.54,721425939.15,795489582.04,1028989692.07,1106891361.54,1209992020.30,1007090269.87,1017544068.84,1178745282.87,1224024139.21,1180645571.86,1211953994.06,1240295198.78,1432606296.27,1548265926.76,1764279817.96,2366941614.03,2900244053.53,3161084846.98,3459336818.04,3957627536.76,4102317468.30,3688974807.45,3449925693.58,3629133062.55,3188653258.61,3193513470.44,3271686452.48,2789882569.10,2896611878.63,3000160414.64,3218418631.68,3155150255.91,2891002460.29,3324648075.56,3380611694.73,3785065524.85,4039842405.48,
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,,19998438484.73,20329047307.12,22364472061.30,24813307353.86,26771102387.35,28351046183.44,30600869634.50,34973045350.79,38563619624.24,43094140248.51,49930151658.85,59970718932.00,79130725986.85,152199035091.12,168169966031.31,210007567495.43,242286792667.27,265416211837.58,358135553984.58,486438763949.34,494934288111.79,463099887499.95,437476513138.04,440187316546.14,432863846846.03,405451959728.24,431233175938.53,429362637000.52,457356344756.14,641684045874.30,467929266012.12,467773383888.63,478901764895.94,499875724097.08,528474798399.24,570906157108.38,614595338335.66,598783412688.28,665404837896.43,763400003917.07,744722772315.71,746650656664.55,830076413454.43,987304981951.17,1210081969427.04,1439461108230.61,1674641032780.09,2118071078804.52,1829849574764.63,2161397546202.94,2573067811497.98,2813567531715.43,2883689839002.54,2937035588682.67,2580328583417.41,2536564595458.87,2611323720520.00,2920829737234.67,2965285548936.01,2604104981819.80,3085141461685.60,3747416641077.46,3622495663981.78,3735881442514.35,
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,685986701.32,939893599.63,1415086929.30,4231243615.86,11651505689.42,14720728248.54,19213158778.79,24871775164.60,23775764224.68,31225659621.00,43599160050.33,49333424135.11,46622718605.28,42803323345.14,41807954235.90,40603650231.54,33943612094.80,36384908744.21,36275674203.21,41464995913.92,50701443748.30,51552165622.45,54239171887.77,55625170253.34,59305093979.84,65743666575.86,73571233996.19,78839008444.57,75674336283.19,84445473110.96,104337372362.15,103311640571.82,109816201497.62,124346358066.71,147824370319.95,180617467964.60,222116541865.21,257916133424.10,315474615738.60,253547358747.45,307736419332.88,368881143635.13,392793464942.14,409632675289.31,424935874744.72,381973042886.32,381717086453.37,403365010211.03,440560108917.63,433926208304.97,357161878829.14,422441388699.80,511403403675.97,522622191967.33,552324846834.58,
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,15865474315.41,20132220374.91,18337691145.37,18272123664.47,25605249381.76,28344705966.64,28630474727.90,24256667553.26,26436857247.50,31256284543.62,31584210365.54,33293199095.49,34733000536.29,52544000116.90,72436777342.46,52438647921.92,51169499892.17,56781000101.08,89049453088.33,69252328951.64,76961923741.07,78676842366.55,84307486836.72,103979106777.91,116915052107.03,88150891728.11,105872372613.86,108810885301.25,126890235049.09,76629728760.12,141352654305.16,189719984268.49,228778917308.17,236741715015.02,257440000000.00,258031750000.00,272149750000.00,292859000000.00,298948250000.00,283523000000.00,284203750000.00,268696750000.00,97724004251.86,127586973492.18,164657930452.79,198737095012.28,232557260817.31,287530508430.57,361558037110.42,332976484577.62,423627422092.49,530158122010.44,545982375701.13,552025140252.25,526319673731.64,594749285413.21,557532320662.96,643628393281.36,524819892360.18,447754683615.23,385740508436.97,486564085480.04,633993756301.08,649461687959.17,638365455340.04,
