date,donor_id,amount,category,recurring
2024-01-05,101,50.00,One-time,No
2024-01-08,102,25.00,One-time,No
2024-01-12,101,50.00,Recurring,Yes
2024-01-15,103,100.00,One-time,No
2024-01-18,104,75.50,One-time,No
2024-01-22,102,25.00,Recurring,Yes
2024-02-02,105,150.00,One-time,No
2024-02-05,101,50.00,Recurring,Yes
2024-02-10,106,30.00,One-time,No
2024-02-15,102,25.00,Recurring,Yes
2024-02-20,107,200.00,One-time,No
2024-02-25,103,100.00,One-time,No
2024-03-01,108,45.00,One-time,No
2024-03-05,101,50.00,Recurring,Yes
2024-03-10,104,75.50,One-time,No
2024-03-12,102,25.00,Recurring,Yes
2024-03-18,109,500.00,One-time,No
2024-03-22,110,35.00,One-time,No
2024-03-28,101,50.00,Recurring,Yes
2024-04-02,111,60.00,One-time,No
2024-04-05,102,25.00,Recurring,Yes
2024-04-10,112,150.00,One-time,No
2024-04-15,105,150.00,One-time,No
2024-04-20,101,50.00,Recurring,Yes
2024-04-25,113,80.00,One-time,No
